Name EN,Name CN
[BIOS] Atari 7800 (USA),
[BIOS] Atari 7800 (Europe),
7800 Monitor Cart (USA) (Program) (Unl),
Ace of Aces (USA),王牌飞行员
Ace of Aces (Europe),王牌飞行员
Alien Brigade (USA),外星战争
Alien Brigade (Europe),外星战争
Asteroids (USA),爆破彗星
Asteroids (USA) (Beta),爆破彗星
Atari 7800 Development Card (USA),
Ballblazer (USA),滚球大战
Ballblazer (Europe),滚球大战
Barnyard Blaster (USA),谷仓守卫
Barnyard Blaster (Europe),谷仓守卫
Baseball (Europe),棒球
Basketbrawl (USA),激斗篮球
Basketbrawl (Europe),激斗篮球
Centipede (Europe),飞天蜈蚣
Centipede (USA),飞天蜈蚣
Choplifter! (Europe),直升机大战
Choplifter! (USA),直升机大战
Commando (USA),突击队员
Commando (Europe),突击队员
Crack'ed (Europe),破壳
Crack'ed (USA),破壳
Crossbow (Europe),神射手威廉
Crossbow (USA),神射手威廉
Dark Chambers (USA),黑暗地牢
Dark Chambers (Europe),黑暗地牢
Desert Falcon (Europe),沙漠猎鹰
Desert Falcon (USA),沙漠猎鹰
Diagnostic Test Cartrige (USA),
Diagnostic Test Cartrige (USA) (Beta),
Dig Dug (Europe),打空气
Dig Dug (USA),打空气
Donkey Kong (USA),大金刚
Donkey Kong (Europe),大金刚
Donkey Kong Junior (Europe),大金刚Jr.
Donkey Kong Junior (USA),大金刚Jr.
Double Dragon (USA),双截龙
Double Dragon (Europe),双截龙
F-18 Hornet (USA),F-18 大黄蜂
F-18 Hornet (Europe),F-18 大黄蜂
Fatal Run (Europe),致命狂飙
Fatal Run (USA),致命狂飙
Fight Night (USA),决战之夜
Fight Night (Europe),决战之夜
Food Fight (USA),食物大战
Food Fight (Europe),食物大战
Food Fight (USA) (Beta),食物大战
Galaga (Europe),大蜜蜂
Galaga (USA),大蜜蜂
GATO (USA) (Proto),加托级潜艇
Hat Trick (Europe),帽子戏法
Hat Trick (USA),帽子戏法
High Score Cartridge (USA) (Proto),
Ikari Warriors (Europe),怒之战士
Ikari Warriors (USA),怒之战士
Impossible Mission (Europe),碟中谍
Impossible Mission (USA),碟中谍
Jinks (USA),狂欢方块
Jinks (Europe),狂欢方块
Joust (USA),鸟骑士
Joust (Europe),鸟骑士
Karateka (Europe),空手道
Karateka (USA),空手道
Klax (USA) (Proto),立体方块
Kung-Fu Master (Europe),成龙踢馆
Kung-Fu Master (USA),成龙踢馆
Mario Bros. (USA),马里奥兄弟
Mario Bros. (Europe),马里奥兄弟
Mat Mania Challenge (USA),疯狂摔跤挑战
Mat Mania Challenge (Europe),疯狂摔跤挑战
Mean 18 Ultimate Golf (Europe),终极18杆高尔夫
Mean 18 Ultimate Golf (USA),终极18杆高尔夫
Meltdown (USA),反应堆熔毁
Meltdown (Europe),反应堆熔毁
Midnight Mutants (Europe),午夜怪人
Midnight Mutants (USA),午夜怪人
Missing in Action (USA) (Proto),杀出火地狱
Motor Psycho (USA),疯狂摩托
Motor Psycho (Europe),疯狂摩托
Ms. Pac-Man (Europe),吃豆女士
Ms. Pac-Man (USA),吃豆女士
Ninja Golf (USA),忍者高尔夫
Ninja Golf (Europe),忍者高尔夫
One-on-One Basketball (USA),一对一篮球
One-on-One Basketball (Europe),一对一篮球
Pete Rose Baseball (USA),皮特罗斯棒球
Pit Fighter (USA) (Proto),角斗士
Planet Smashers (Europe),行星破坏者
Planet Smashers (USA),行星破坏者
Plutos (USA) (Proto),冥王星
Pole Position II (USA),顶尖车手2
Pole Position II (Europe),顶尖车手2
Pole Position II (USA) (Beta),顶尖车手2
Rampage (USA),横冲直撞
Rampart (USA) (Proto),城堡保卫战
RealSports Baseball (USA),真实棒球
Rescue on Fractalus (USA) (Proto),救援行动
Robotron - 2084 (USA),机械创元2084
Scrapyard Dog (Europe),废料厂小伙
Scrapyard Dog (USA),废料厂小伙
Sentinel (Europe),哨兵
Sentinel (USA) (Proto),哨兵
Sirius (USA) (Proto),天狼星
Summer Games (USA),夏季运动会
Super Huey UH-IX (Europe),超级休伊 UH-IX
Super Huey UH-IX (USA),超级休伊 UH-IX
Super Skateboardin' (USA),超级滑板小子
Super Skateboardin' (Europe),超级滑板小子
Tank Command (USA),坦克指挥官
Title Match Pro Wrestling (USA),职业摔跤冠军赛
Title Match Pro Wrestling (Europe),职业摔跤冠军赛
Tomcat - The F-14 Fighter Simulator (Europe),F-14 雄猫
Tomcat - The F-14 Fighter Simulator (USA),F-14 雄猫
Touchdown Football (USA),达阵橄榄球
Tower Toppler (Europe),青蛙爬塔
Tower Toppler (USA),青蛙爬塔
Water Ski (USA),水橇滑水
Winter Games (USA),冬季运动会
Xenophobe (USA),异形任务
Xenophobe (Europe),异形任务
Xevious (Europe),铁板阵
Xevious (USA),铁板阵
Xevious (USA) (Beta),铁板阵
