EN Name,CN Name
[BIOS] Family Computer Disk System (Japan) (En) (Rev 1),[BIOS] FC磁碟机
[BIOS] Family Computer Disk System (Japan) (En),[BIOS] FC磁碟机
[BIOS] Family Computer Disk System (Japan) (En) (Rev 1) (GameCube Edition),[BIOS] FC磁碟机
[BIOS] Family Computer Disk System (Japan) (En) (Rev 1) (3DS Virtual Console),[BIOS] FC磁碟机
[BIOS] Family Computer Disk System (World) (Rev 1) (Game & Watch - Super Mario Bros.),[BIOS] FC磁碟机
[BIOS] Family Computer Disk System (Japan) (En) (Rev 1) (3DS Virtual Console) (Alt),[BIOS] FC磁碟机
[BIOS] Twin Famicom (Japan) (En),[BIOS] 二合一FC磁碟机
Adian no Tsue (Japan),亚迪安之杖
Adian no Tsue (Japan) (Beta) (1986-10-29),亚迪安之杖
Ai Senshi Nicol (Japan),爱战士尼科鲁
Air Fortress (Japan) (Proto) (1986-10-20),空中大作战 / 空中要塞
Aki to Tsukasa no Fushigi no Kabe (Japan) (Unl),不可思议之壁
Akumajou Dracula (Japan),恶魔城
Akumajou Dracula (Japan) (Rev 2) (Disk Writer),恶魔城
Akumajou Dracula (Japan) (Rev 1),恶魔城
Akumajou Dracula (Japan) (Rev 2) (Wii and Wii U Virtual Console),恶魔城
Akuu Senki Raijin (Japan) (Disk Writer),亚空战记
Akuu Senki Raijin (Japan) (Beta) (1987-06-10),亚空战记
Aliens - Alien 2 (Japan) (Proto) (1986-12-15),异形2
All Night Nippon Super Mario Bros. (Japan) (Promo),超级马里奥黑夜版
Apple Town Monogatari - Little Computer People (Japan),苹果镇故事
Armana no Kiseki (Japan),奇迹之石
Aspic - Majaou no Noroi (Japan),魔蛇王之咒
Backgammon (Japan),西洋双陆棋
Bakutoushi Patton-kun (Japan),爆斗士巴顿君
Balloon Fight (Japan) (En) (Proto),气球大战
Baseball (Japan),棒球
Big Challenge! Dogfight Spirit (Japan),大挑战！空中斗士
Big Challenge! Go! Go! Bowling (Japan),大挑战！保龄球
Big Challenge! Gun Fighter (Japan),大挑战！神枪手
Big Challenge! Juudou Senshuken (Japan),大挑战！柔道选手权
Bio Miracle Bokutte Upa (Japan),超级宝宝
Bio Miracle Bokutte Upa (Japan) (Wii and Wii U Virtual Console),超级宝宝
Bio Miracle Bokutte Upa (Japan) (3DS Virtual Console),超级宝宝
Bishoujo Alien Battle (Japan) (Unl),美少女SF选择扑克
Bishoujo Alien Battle (Japan) (Unl) (Alt) [b],美少女SF选择扑克
Bishoujo Control (Japan) (Unl),美少女射击
Bishoujo Hanafuda Club Vol.1 - Oichokabu Hen (Japan) (Unl),美少女花札俱乐部1
Bishoujo Hanafuda Club Vol.2 - Koikoi Bakappana Hen (Japan) (Unl),美少女花札俱乐部2
Bishoujo Kachinuki Renju - Gomoku Narabe (Japan) (Unl),美少女五子棋
Bishoujo Mahjong Club (Japan) (Unl),美少女麻将俱乐部
Bishoujo Sexy Derby (Japan) (Unl),美少女赛马
Bishoujo Sexy Puzzle (Japan) (Unl),美少女性感拼图
Bishoujo Sexy Slot (Japan) (Unl),美少女老虎机
Bishoujo Shashinkan - Moving School (Japan) (Unl),美少女写真馆 - 移动校园
Bishoujo Shashinkan - Studio Cut (Japan) (Unl),美少女写真馆
