Name EN,Name CN
3 Choume no Tama - Tama and Friends - 3 Choume Obake Panic!! (Japan),三丁目大冒险
3-pun Yosou - Umaban Club (Japan),马番俱乐部
4-in-1 Fun Pak (Japan),4合1
"4-in-1 Fun Pak (USA, Europe)",4合1
"4-in-1 Funpak - Volume II (USA, Europe)",4合1 - 第二辑
A-mazing Tater (USA),神奇土豆
Aa Harimanada (Japan),播磨滩相扑
"Addams Family, The (Europe) (En,Fr,De)",阿达家族
"Addams Family, The (Japan)",阿达家族
"Addams Family, The (USA)",阿达家族
"Addams Family, The - Pugsley's Scavenger Hunt (USA, Europe)",阿达家族 - 普格斯利的清洁工狩猎
"Adventure Island (USA, Europe)",冒险岛
"Adventure Island II - Aliens in Paradise (USA, Europe)",冒险岛2 - 异形天堂
Adventures of Lolo (Europe) (SGB Enhanced),罗罗大冒险
"Adventures of Rocky and Bullwinkle and Friends, The (USA)",波波鹿与飞天鼠和他们的朋友们
"Adventures of Star Saver, The (USA, Europe)",星球拯救者
Aerostar (Japan),青空之星
"Aerostar (USA, Europe)",青空之星
After Burst (Japan),爆裂之后
Agro Soar (Australia),飞翔暴徒澳
Akazukin Chacha (Japan) (SGB Enhanced),小红帽恰恰
Akumajou Dracula - Shikkoku Taru Zensoukyoku - Dark Night Prelude (Japan) (SGB Enhanced),恶魔城 - 漆黑前奏曲
Akumajou Special - Boku Dracula-kun (Japan),德拉克拉君
Aladdin (Europe) (SGB Enhanced),阿拉丁
Aladdin (USA) (SGB Enhanced),阿拉丁
Aladdin (World) (Disney Classic Games) (SGB Enhanced),阿拉丁
Alfred Chicken (Europe),跳跳鸡
Alfred Chicken (Japan) (SGB Enhanced),跳跳鸡
Alfred Chicken (USA),跳跳鸡
Alien 3 (Japan),异形3
"Alien 3 (USA, Europe)",异形3
Alien Olympics (Europe),异形奥林匹克公元2044
Alien vs Predator (Japan),异形大战铁血战士
Alien vs Predator - The Last of His Clan (USA),异形大战铁血战士
All-Star Baseball 99 (USA),全明星棒球'99
Alleyway (World),小巷世界
Altered Space - A 3-D Alien Adventure (Europe),扭曲空间 - 外星冒险
Altered Space - A 3-D Alien Adventure (Japan),扭曲空间 - 外星冒险
Altered Space - A 3-D Alien Adventure (USA),扭曲空间 - 外星冒险
"Amazing Penguin (USA, Europe)",神奇企鹅
"Amazing Spider-Man, The (USA, Europe)",神奇蜘蛛侠
America Oudan Ultra Quiz (Japan),横断美国问答
America Oudan Ultra Quiz Part 2 (Japan),横断美国问答2
America Oudan Ultra Quiz Part 2 (Japan) (Rev 1),横断美国问答2
America Oudan Ultra Quiz Part 3 - Champion Taikai (Japan),横断美国问答3
America Oudan Ultra Quiz Part 4 (Japan),横断美国问答4
Amida (Japan),阿弥陀
Animal Breeder (Japan) (SGB Enhanced),动物饲育家
Animal Breeder 2 (Japan) (SGB Enhanced),动物饲育家2
Animaniacs (Europe) (SGB Enhanced),动物王国总动员
Animaniacs (USA) (SGB Enhanced),动物王国总动员
Another Bible (Japan) (SGB Enhanced),圣经外传
Aoki Densetsu Shoot! (Japan) (SGB Enhanced),足球风云
"Arcade Classic No. 1 - Asteroids & Missile Command (USA, Europe) (SGB Enhanced)",街机经典合集1 - 小行星和导弹司令部
"Arcade Classic No. 2 - Centipede & Millipede (USA, Europe) (SGB Enhanced)",经典街机第2号 - 蜈蚣及千节虫
Arcade Classic No. 3 - Galaga & Galaxian (Europe) (SGB Enhanced),经典街机第3号 - 小蜜蜂及大蜜蜂
Arcade Classic No. 3 - Galaga & Galaxian (USA) (SGB Enhanced),经典街机第3号 - 小蜜蜂及大蜜蜂
"Arcade Classic No. 4 - Defender & Joust (USA, Europe) (SGB Enhanced)",街机经典合集4 - 防御者与鸵鸟骑士
"Arcade Classics - Super Breakout & Battlezone (USA, Europe) (SGB Enhanced)",街机经典合集 - 超级打砖王与终极战区
Aretha (Japan),阿蕾纱
Aretha II (Japan),阿蕾纱2
Aretha III (Japan),阿蕾纱3
Asmik-kun World 2 (Japan),阿斯米君世界2
"Asterix & Obelix (Europe) (Fr,De) (SGB Enhanced)",维京人冒险
"Asterix & Obelix (Spain) (En,Es) (SGB Enhanced)",维京人冒险
"Asterix (Europe) (En,Fr,De,Es,It)",高卢奇兵
"Asteroids (USA, Europe)",太空任务
Astro Rabby (Japan),弹跳兔
Atomic Punk (USA),原子朋克
Attack of the Killer Tomatoes (Japan),杀人番茄的袭击
"Attack of the Killer Tomatoes (USA, Europe)",杀人番茄的袭击
"Avenging Spirit (USA, Europe)",复仇精灵
Ayakashi no Shiro (Japan),幽冥城
B.C. Kid (Europe),究极原人
B.C. Kid 2 (Europe) (SGB Enhanced),究极原人
Baby T-Rex (Europe),宝贝龙
Bakenou TV '94 (Japan) (SGB Enhanced),马券王TV'94
Bakenou V3 (Japan),马券王V3
Bakuchou Retrieve Master (Japan) (SGB Enhanced),爆钓钓鱼王
Bakuchou Retsuden Shou - Hyper Fishing (Japan) (SGB Enhanced),爆钓烈传翔
Bakuretsu Senshi Warrior (Japan),超兄贵爆裂乱斗篇
"Balloon Kid (USA, Europe)",气球小子
Bamse (Sweden),巴姆斯瑞典
Banishing Racer (Japan),神仙车
"Barbie - Game Girl (USA, Europe)",芭比游戏女孩
"Bart Simpson's Escape from Camp Deadly (USA, Europe)",巴特的生存训练营
Bart no Survival Camp (Japan),巴特的生存训练营
Baseball (World),棒球世界
Baseball Kids (Japan),棒球小子
