Name EN,Name CN
"007 - The World Is Not Enough (USA, Europe)",007 - 明日帝国
10-Pin Bowling (Europe),10杆保龄球
10-Pin Bowling (USA) (Rumble Version),10杆保龄球
102 Dalmatas - Cachorros Al Rescate (Spain),102忠狗
"102 Dalmatians - Puppies to the Rescue (USA, Europe)",102忠狗
"102 Dalmatiens a la Rescousse, Les (France)",102忠狗
102 Dalmatiner (Germany),102忠狗
"1942 (USA, Europe)",1942
3-D Ultra Pinball - Thrillride (USA) (Rumble Version),3D弹珠台
"3D Pocket Pool (Europe) (En,Fr,De,Es,It,Nl)",3D台球
"4x4 World Trophy (Europe) (En,Fr,De,Es,It) (GB Compatible)",怪兽车大赛
"720 Degrees (USA, Europe) (GB Compatible)",720度滑板小子
"Action Man - Search for Base X (USA, Europe)",战斗人 - 寻找X基地
"Adventures of the Smurfs, The (Europe) (En,Fr,De,Es,It,Nl)",蓝精灵冒险
AirForce Delta (Japan),空军Delta
AirForce Delta (USA),空军Delta
"Aladdin (Europe) (En,Fr,De,Es,It,Nl)",阿拉丁
Aladdin (USA),阿拉丁
"Alfred's Adventure (Europe) (En,Fr,De,Es,It)",阿福莱德的冒险
"Alice in Wonderland (Europe) (En,Fr,De,Es)",爱丽丝梦游仙境
"Alice in Wonderland (USA, Australia)",爱丽丝梦游仙境
"Aliens - Thanatos Encounter (USA, Europe)",异形 - 遭遇战
All Star Tennis 2000 (Europe) (AZTP) (GB Compatible),全明星网球2000
"All-Star Baseball 2000 (USA, Europe)",全明星棒球2000
All-Star Baseball 2001 (USA),全明星棒球2001
"Alone in the Dark - The New Nightmare (Europe) (En,Fr,De,Es,It,Nl)",鬼屋魔影 - 新恶梦
"Alone in the Dark - The New Nightmare (USA) (En,Fr,Es)",鬼屋魔影 - 新恶梦
Animal Breeder 3 (Japan) (SGB Enhanced) (GB Compatible),动物饲育家3
Animal Breeder 4 (Japan),动物饲育家4
Animastar GB (Japan),动物王
"Animorphs (Europe) (En,Fr,De,Es,It)",变身战士
Animorphs (USA),变身战士
Anpfiff - Der RTL Fussball-Manager (Germany),RTL足球经理
"Antz (Europe) (En,Fr,De,Es,It,Nl) (GB Compatible)",小蚁雄兵
"Antz (USA) (En,Fr,Es) (GB Compatible)",小蚁雄兵
"Antz Racing (Europe) (En,Fr,De,Es,It,Nl)",蚂蚁赛车
"Antz Racing (USA) (En,Fr,De,Es,It,Nl)",蚂蚁赛车
"Antz World Sportz (Europe) (En,Fr,De,Es,It,Nl)",安茨体育世界
Aqualife (Japan) (SGB Enhanced) (GB Compatible),水族馆
Arle no Bouken - Mahou no Jewel (Japan) (SGB Enhanced) (GB Compatible),魔法气泡大冒险
Armada - FX Racers (USA),亚曼达车手
"Armorines - Project S.W.A.R.M. (USA, Europe) (En,De)",装甲兵器
"Army Men (USA, Europe) (En,Fr,De)",小军人
"Army Men - Air Combat (USA, Europe) (En,Fr,De)",小军人 - 空中大战
"Army Men - Sarge's Heroes 2 (USA, Europe) (En,Fr,De)",小军人 - 英雄无敌2
"Army Men 2 (USA, Europe) (En,Fr,De)",小军人2
Arthur's Absolutely Fun Day! (USA),快乐的日子
"Asterix & Obelix (Europe) (En,Fr,De,Es)",维京人冒险
"Asterix & Obelix Contre Cesar (Europe) (En,Fr,De,Es,Nl) (GB Compatible)",维京人冒险
"Asterix - Sur la Trace D'Idefix (Europe) (En,Fr,De,Es,It,Nl)",维京人闯天关
"Asteroids (USA, Europe) (GB Compatible)",太空任务
"Atlantis - The Lost Empire (Europe) (En,Es,It)",亚特兰蒂斯 - 失落的帝国
"Atlantis - The Lost Empire (Europe) (Fr,De,Nl)",亚特兰蒂斯 - 失落的帝国
"Atlantis - The Lost Empire (USA, Europe)",亚特兰蒂斯 - 失落的帝国
Atsumete Asobu Kuma no Pooh-san - Mori no Takaramono (Japan),小熊维尼
"Austin Powers - Oh, Behave! (Europe) (En,Fr,De,Es,It)",奥斯丁政权 - 行动起来
"Austin Powers - Oh, Behave! (USA)",奥斯丁政权 - 行动起来
