Name EN,Name CN
[BIOS] Sega Game Gear (USA),[BIOS]世嘉GameGear
5 in One FunPak (USA),娱乐5合1
Aa Harimanada (Japan),播磨滩相扑
"Addams Family, The (World)",阿达一族
"Adventures of Batman & Robin, The (USA, Europe, Brazil) (En)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA, Europe, Brazil) (En) (Beta) (1995-04-27)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA, Europe, Brazil) (En) (Beta) (1995-04-29)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA, Europe, Brazil) (En) (Beta) (1995-04-30)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA, Europe, Brazil) (En) (Beta) (1995-05-04)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA, Europe, Brazil) (En) (Beta) (1995-05-02)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA, Europe, Brazil) (En) (Beta) (1995-05-06) (Alt)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA, Europe, Brazil) (En) (Beta) (1995-05-06)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA, Europe, Brazil) (En) (Beta) (1995-05-07)",蝙蝠侠与罗宾的冒险
Aerial Assault (World),空中突击
Aerial Assault (World) (Rev 1),空中突击
"Aladdin (USA, Europe, Brazil) (En)",阿拉丁
Aladdin (Japan) (En),阿拉丁
"Aladdin (USA, Europe, Brazil) (En) (Beta) (1993-12-28)",阿拉丁
"Aladdin (USA, Europe, Brazil) (En) (Beta) (1994-01-11)",阿拉丁
"Aladdin (USA, Europe, Brazil) (En) (Beta) (1994-01-13)",阿拉丁
Alien 3 (Japan) (En),异型3
"Alien 3 (USA, Europe)",异型3
Alien Syndrome (Europe),异型特攻队
Alien Syndrome (Japan) (En),异型特攻队
Andre Agassi Tennis (USA),阿加西网球
Andre Agassi Tennis (USA) (Beta),阿加西网球
Arcade Classics (USA),街机游戏合集
Arch Rivals - The Arcade Game (USA),双人篮球
Archer Maclean's Dropzone (Europe),超级月面地带
"Arena (USA, Europe)",阿雷那
"Ariel - The Little Mermaid (USA, Europe, Brazil) (En)",小美人鱼艾丽尔
Arliel - Crystal Densetsu (Japan),阿莉尔-水晶传说
"Asterix and the Great Rescue (USA, Brazil) (En)",高卢人-伟大营救
"Asterix and the Great Rescue (Europe) (En,Fr,De,Es,It)",高卢人-伟大营救
"Asterix and the Great Rescue (USA) (En,Fr,De,Es,It) (Beta) (1994-01-25)",高卢人-伟大营救
"Asterix and the Great Rescue (USA) (En,Fr,De,Es,It) (Beta) (1994-02-16)",高卢人-伟大营救
Asterix and the Great Rescue (USA) (Beta) (1994-03-03),高卢人-伟大营救
Asterix and the Great Rescue (USA) (Beta) (1994-02-22),高卢人-伟大营救
Asterix and the Great Rescue (USA) (Beta) (1994-03-15),高卢人-伟大营救
"Asterix and the Secret Mission (Europe) (En,Fr,De)",高卢人-秘密任务
"Ax Battler - A Legend of Golden Axe (USA, Europe, Brazil) (En) (Beta) (1991-08-10)",AX战士-黄金斧传说
"Ax Battler - A Legend of Golden Axe (USA, Europe, Brazil) (En)",AX战士-黄金斧传说
Ax Battler - Golden Axe Densetsu (Japan),AX战士-黄金斧传说
"Ayrton Senna's Super Monaco GP II (USA, Europe, Brazil) (En)",摩纳哥GP赛车2
Ayrton Senna's Super Monaco GP II (Japan),摩纳哥GP赛车2
"Ayrton Senna's Super Monaco GP II (USA, Europe, Brazil) (En) (Beta)",摩纳哥GP赛车2
Baku Baku (USA),动物方块
Baku Baku (Europe),动物方块
Baku Baku Animal - Sekai Shiikugakari Senshu-ken (Japan),动物方块
Barbie Super Model (USA) (Proto) (1994-08-25),芭比超模
Batman Forever (World),永远的蝙蝠侠
Batman Returns (World),蝙蝠侠回归
Batter Up (USA),棒球体育场
Battleship - The Classic Naval Combat Game (USA),战斗舰队
"Battletoads (Japan, Europe) (En)",忍者蛙
Battletoads (USA),忍者蛙
"Beavis and Butt-Head (USA, Europe)",瘪四与大头蛋
"Beavis and Butt-Head (USA, Europe) (Beta)",瘪四与大头蛋
"Berenstain Bears' Camping Adventure, The (USA)",卷毛熊露营冒险记
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-07-15)",卷毛熊露营冒险记
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-07-21)",卷毛熊露营冒险记
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-07-22)",卷毛熊露营冒险记
"Berenstain Bears' Camping Adventure, The (USA) (Beta) (1994-06-28)",卷毛熊露营冒险记
