Name EN,Name CN
Ball (World),抛球手
Balloon Fight (World),气球大战
Black Jack (World),黑杰克
Bomb Sweeper (World),拆弹专家
Boxing (World),拳击
Chef (World),猫鼠厨房
Climber (World),敲冰块
Crab Grab (World),逮虾户
Donkey Kong (World),大金刚
Donkey Kong 3 (World),大金刚3
Donkey Kong Hockey (World),大金刚冰球
Donkey Kong II (World),大金刚2
Donkey Kong Jr. (World) (New Wide Screen),大金刚Jr.
Donkey Kong Jr. (World) (Panorama Screen),大金刚Jr.
Fire (World) (Wide Screen),救生员
Fire (World) (Silver),救生员
Fire Attack (World),火攻防事
Flagman (World),旗手
Gold Cliff (World),黄金悬崖
Green House (World),大棚灭虫
Helmet (World),带好头盔
Helmet (World) (Rev 1),带好头盔
Judge (World) (Rev 1),槌判员
Judge (World),槌判员
Lifeboat (World),救生艇
Lion (World),驯狮师
Manhole (World) (New Wide Screen),过井员
Manhole (World) (Gold),过井员
Mario Bros. (World),马里奥兄弟
Mario the Juggler (World),马里奥杂技
Mario's Bombs Away (World),马里奥传炸弹
Mario's Cement Factory (World) (New Wide Screen),马里奥的水泥厂
Mario's Cement Factory (World) (Table Top),马里奥的水泥厂
Mickey & Donald (World),米老鼠和唐老鸭
Mickey Mouse ~ Donkey Kong Circus (World) (Panorama Screen),大金刚杂技
Mickey Mouse ~ Egg (World) (Wide Screen),鸡蛋英雄
Octopus (World),章底探险
Oil Panic (World),漏油惊恐
Parachute (World),降落伞
Pinball (World),弹珠台
Popeye (World) (Panorama Screen),大力水手
Popeye (World) (Wide Screen),大力水手
Rain Shower (World),雨天晾衣
Safe Buster (World),金库大盗
Snoopy (World),史努比
Snoopy Tennis (World),史努比网球
Spitball Sparky (World),吹求小子
Squish (World),向右冲
Super Mario Bros. (World),超级马里奥兄弟
Tropical Fish (World),热带鱼
Turtle Bridge (World),过龟龟桥
Vermin (World),打地鼠
Zelda (World),塞尔达
