Name EN,Name CN
007 Shitou - The Duel (Japan) (En),007之死亡决斗
10 Super Jogos (Brazil) (En),超级游戏十合一
16t (Japan) (Game no Kanzume Otokuyou),十六吨之掷
2020 Nen Super Baseball (Japan),2020超级棒球
3 Ninjas Kick Back (USA),忍杀三人组
"688 Attack Sub (USA, Europe)",猎杀潜艇
A Ressha de Ikou MD (Japan),铁路大亨MD
ATP Tour (Europe),ATP网球巡回赛
ATP Tour Championship Tennis (USA),ATP冠军网球赛
Aa Harimanada (Japan),播磨滩相扑
Aaahh!!! Real Monsters (Europe),真实妖怪
Aaahh!!! Real Monsters (USA),真实妖怪
"Addams Family Values (Europe) (En,Fr,De)",阿达姆斯家庭
"Addams Family, The (USA, Europe)",阿达姆斯家庭
Advanced Busterhawk Gley Lancer (Japan),星际枪骑兵
Advanced Daisenryaku - Deutsch Dengeki Sakusen (Japan) (Rev A),高级大战略 - 闪电战
"Adventures of Batman & Robin, The (Europe)",蝙蝠侠与罗宾的冒险
"Adventures of Batman & Robin, The (USA)",蝙蝠侠与罗宾的冒险
"Adventures of Mighty Max, The (Europe)",万能麦斯
"Adventures of Mighty Max, The (USA)",万能麦斯
"Adventures of Rocky and Bullwinkle and Friends, The (USA)",麋鹿大进军
Aero Blasters (Japan) (En),疾风战机
Aero the Acro-Bat (Europe),飞翔蝙蝠
Aero the Acro-Bat (USA),飞翔蝙蝠
Aero the Acro-Bat 2 (Europe),飞翔蝙蝠2
Aero the Acro-Bat 2 (USA),飞翔蝙蝠2
Aerobiz (USA),航空霸业
Aerobiz Supersonic (USA),航空霸业 - 超音速
After Burner II (Japan) (En),冲破火网2
"After Burner II (USA, Europe)",冲破火网2
Air Buster (USA),疾风战机
Air Diver (Japan) (En),空中霸王
Air Diver (USA),空中霸王
Air Hockey (Europe) (Sega Reactor),气垫球
Air Management - Oozora ni Kakeru (Japan),航空霸业
Air Management II - Koukuuou o Mezase (Japan),航空霸业2
"Al Michaels Announces HardBall III (USA, Europe)",阿尔迈克尔斯播报III
Aladdin (Europe),阿拉丁
Aladdin (Japan),阿拉丁
Aladdin (USA),阿拉丁
Aladdin (USA) (Final Cut),阿拉丁
Aladdin (World) (En) (Disney Classic Games),阿拉丁
Aladdin (World) (Ja) (Disney Classic Games),阿拉丁
Alex Kidd - Cheongong Maseong (Korea),亚历克斯基德 - 砖块迷宫
Alex Kidd - Tenkuu Majou (Japan),亚历克斯基德 - 天空魔城
Alex Kidd in the Enchanted Castle (Europe),亚历克斯在魔城
Alex Kidd in the Enchanted Castle (USA),亚历克斯在魔城
Alex Kidd in the Enchanted Castle (USA) (Sega Channel),亚历克斯在魔城
"Alien 3 (USA, Europe)",异形3
"Alien 3 (USA, Europe) (Rev A)",异形3
Alien Soldier (Europe),外星战士
Alien Soldier (Japan),外星战士
Alien Soldier (USA) (Virtual Console),外星战士
Alien Storm (World),异形风暴
