Name EN,Name CN
Cliffhanger (USA),绝岭雄风
"Dragon's Lair (Japan) (En,Ja,Fr,De,It)",龙穴历险记
Earthworm Jim - Special Edition (Europe),蚯蚓战士
Fahrenheit (Europe),幻象杀手
Time Gal (USA),时空少女
Tenkafubu - Eiyuutachi no Houkou (Japan),天下布武
"Battlecorps (Europe) (En,Fr,De,Es)",战斗军团
Sangokushi III (Japan),三国志3
Gyuwambler Jiko Chuushinha 2 - Gekitou! Tokyo Mahjongland-hen (Japan),自我中心派麻将2
Sonic the Hedgehog CD (Japan),索尼克CD
Burai - Yatsudama no Yuushi Densetsu (Japan),光明八勇士
Dennin Aleste - Nobunaga and His Ninja Force (Japan),电忍雅士达
Record of Lodoss War (Japan),蒂德莉特的奇境冒险 - 英雄战争
Lunar - The Silver Star (Japan),露娜 - 银星和声
Winning Post (Japan),赛马大亨
Prince of Persia (Japan),波斯王子
Quiz Scramble Special (Japan) (Rev B),知识竞赛争夺战 - 特别版
Rise of the Dragon - A Blade Hunter Mystery (Japan),龙之崛起
Ranma 1-2 - Byakuranaika (Japan),乱马1/2 - 白兰爱歌
Game no Kandume Vol. 1 (Japan),游戏罐头1
Egawa Suguru no Super League CD (Japan),江川卓的超级棒球联赛
After Burner III (Japan),冲破火网3
Wakusei Woodstock - Funky Horror Band (Japan),惑星伍德斯托之恐怖乐队
Sega Classic Arcade Collection - Limited Edition (Japan),世嘉经典街机游戏合集 - 4合1
Wolfchild (Japan),狼童
Earnest Evans (Japan),埃文斯之鞭
Heavenly Symphony - Formula One World Championship 1993 (Japan),F1方程式赛车世界冠军 - 超越极限
F1 Circus CD (Japan),F1竞赛场
Silpheed (Japan),银星战机
Heavy Nova (Japan),重装诺瓦
AX-101 (Japan),AX-101
Nostalgia 1907 - In North Atlantic Sea (Japan),乡愁1907
Yumemi Yakata no Monogatari (Japan),梦见馆物语
Vay - Ryuusei no Yoroi (Japan),流星盔甲
Shining Force CD (Japan),光明力量CD
Final Fight CD (USA) (Alt 2),快打旋风CD
Dynamic Country Club (Japan),动感乡村俱乐部
Pro Yakyuu Super League CD (Japan),职业棒球超级联盟CD
Night Trap (Japan) (Disc 1),午夜陷阱
Night Trap (Japan) (Disc 2),午夜陷阱
Jangou World Cup (Japan),雀豪世界杯
Cosmic Fantasy Stories (Japan),宇宙幻想物语
Yumimi Mix (Japan),优美Mix
Quiz Tonosama no Yabou (Japan),信长之野望
Tenbu Mega CD Special (Japan),天舞三国志 - 三国志正史
Thunder Storm FX (Japan),眼镜蛇指挥官
Kamen Rider ZO (Japan),假面骑士ZO
Mortal Kombat (USA),真人快打
Eternal Champions - Challenge from the Dark Side (USA),永恒之冠 - 黑暗之挑战
Ecco the Dolphin (Europe),海豚历险记1
Switch (Japan),恐慌
Shining Force CD (USA) (3R),光明力量CD
Corpse Killer (USA) (Sega CD 32X),屠尸者
Sol-Feace (Japan),第五乐章
Wonder Dog (Japan),神奇狗
Final Fight CD (Japan),快打旋风CD
PopfulMail (Japan),啵咕物语 - 美少女剑士梅儿
Shadow of the Beast II - Juushin no Jubaku (Japan),野兽之影2
Bari-Arm (Japan),巴里臂的复仇
Microcosm (Japan),微观世界
Keiou Yuugekitai (Japan),庆应游击队
Cyborg 009 (Japan),人造人009
Heimdall (Japan),维京勇士
Garou Densetsu Special (Japan),饿狼传说 - 特别版
Urusei Yatsura - Dear My Friends (Japan),福星小子 - 亲爱的朋友
Devastator (Japan),蹂躏者
AH3 - Thunderstrike (USA),AH3雷霆战士
Who Shot Johnny Rock (USA),谁射杀了约翰尼洛克
Slam City with Scottie Pippen (Europe) (Disc 1) (Fingers),大满贯城市
