EN Name,[TBD] Name
"Black Onyx II, The - Search for the Fire Crystal (Japan)",
"Black Onyx, The (Japan)",
"Brain, The (Japan)",
"Castle, The (Japan)",
"Chess Game, The (Europe)",
"Cockpit, The (Japan)",驾驶舱
"Dam Busters, The (Japan) (Alt 1)",
"Dam Busters, The (Japan)",
"Demon Crystal, The (Japan)",
"Designer's Pencil, The (Europe) (Program)",
"Eidolon, The (Europe)",精灵
"Empereur, L' (Japan)",皇帝
"Fairy Land Story, The (Japan) (Alt 1)",
"Fairy Land Story, The (Japan)",
"Flics, Les (France)",
"Gekitotsu Pennant Race - Pro Yakyuu, The (Japan) (Alt 2)",激突棒球
"Gekitotsu Pennant Race - Pro Yakyuu, The (Japan) (Alt 3)",激突棒球
"Gekitotsu Pennant Race - Pro Yakyuu, The (Japan) (Alt)",激突棒球
"Gekitotsu Pennant Race - Pro Yakyuu, The (Japan)",激突棒球
"Goonies, The (Japan) (Alt 1)",
"Goonies, The (Japan) (Alt 2)",
"Goonies, The (Japan)",
"Heist, The (Japan)",
"Kage no Densetsu - Legend of Kage, The (Japan) (Alt 1)",
"Kage no Densetsu - Legend of Kage, The (Japan)",
"Keiba, The (Japan) (Program)",
"King's Valley (Japan, Europe) (Alt 1)",
"King's Valley (Japan, Europe) (Alt 2)",
"King's Valley (Japan, Europe) (Alt 3)",
"King's Valley (Japan, Europe) (Alt 4)",
"King's Valley (Japan, Europe)",
"King's Valley II (Japan, Europe)",
"Light Corridor, The (Europe)",
"Links, The (Japan) (NGA II) (Program) (Alt 1)",
"Links, The (Japan) (NGA II) (Program)",
"Links, The (Japan) (Program)",
"Maison Ikkoku - Kanketsu Hen - Sayonara, Soshite... (Japan)",相聚一刻完结篇
"Mitsumega Toohru - Three-Eyed One Comes Here, The (Japan)",
"Nemesis (Japan, Europe) (Alt 1)",
"Nemesis (Japan, Europe)",
"Nemesis 2 (Japan, Europe) (Alt 1)",
"Nemesis 2 (Japan, Europe) (Beta)",
"Nemesis 2 (Japan, Europe)",
"Nemesis 3 - The Eve of Destruction (Japan, Europe) (Alt 1)",
"Nemesis 3 - The Eve of Destruction (Japan, Europe) (Alt 2)",
"Nemesis 3 - The Eve of Destruction (Japan, Europe)",
"Penguin Adventure (Japan, Europe)",
"Police Story, The (Japan) (Alt 1)",
"Police Story, The (Japan)",
"Price of Magik, The (Europe)",
"Protector, The (Japan)",
"Return of Ishtar, The (Japan)",伊师塔回归
"Spider, The (Japan)",
"Stone of Wisdom, The (Japan)",
"Treasure of Usas, The (Japan, Europe) (En) (Alt)",友萨斯
"Treasure of Usas, The (Japan, Europe) (En)",友萨斯
