Name EN,Name CN
[BIOS] Nintendo 64 - PIF (Brazil),
[BIOS] Nintendo 64 - PIF (Europe),
"[BIOS] Nintendo 64 - PIF (Japan, USA)",
"007 - The World Is Not Enough (Europe) (En,Fr,De)",007-明日帝国
007 - The World Is Not Enough (USA),007-明日帝国
007 - The World Is Not Enough (USA) (v21) (Beta),007-明日帝国
007 - The World Is Not Enough (USA) (v2) (Beta),007-明日帝国
"1080 Snowboarding (Europe) (En,Ja,Fr,De)",1080度滑雪
"1080 Snowboarding (Japan, USA) (En,Ja)",1080度滑雪
"1080 Snowboarding (USA) (En,Ja) (LodgeNet)",1080度滑雪
3D Model RGB Test Program (USA) (Test Program),
40 Winks (USA) (Proto) (2000-01-10),精灵大救援
"40 Winks (Europe) (En,Es,It) (Proto) (1999-10-07)",精灵大救援
64 de Hakken!! Tamagotchi - Minna de Tamagotchi World (Japan),64电子宠物世界
64 Hanafuda - Tenshi no Yakusoku (Japan),64花札-天使的约束
64 Oozumou (Japan),64大相扑
64 Oozumou 2 (Japan),64大相扑2
64 Trump Collection - Alice no Wakuwaku Trump World (Japan),64扑克集锦
64GB Checker (Japan) (v1.05) (Test Program),
77a (World) (Presence of Mind '98) (Unl),
77a Special Edition (World) (Summer64) (Unl),
Action Replay Pro 64 (Europe) (v3.0) (Unl),ActionReplayPro64
Action Replay Pro 64 (Europe) (v3.3) (Unl),ActionReplayPro64
"AeroFighters Assault (Europe) (En,Fr,De)",音速战机-突击
AeroFighters Assault (USA),音速战机-突击
"AeroGauge (Europe) (En,Fr,De)",磁浮轨道车
AeroGauge (Japan) (Demo) (Kiosk),磁浮轨道车
AeroGauge (Japan) (Rev 1),磁浮轨道车
AeroGauge (USA),磁浮轨道车
AI Shougi 3 (Japan),AI将棋3
Aidyn Chronicles - The First Mage (Europe),爱丁编年史-首席魔法师
Aidyn Chronicles - The First Mage (USA),爱丁编年史-首席魔法师
Aidyn Chronicles - The First Mage (USA) (Rev 1),爱丁编年史-首席魔法师
Aidyn Chronicles - The First Mage (USA) (Beta) (2000-02-10),爱丁编年史-首席魔法师
Aidyn Chronicles - The First Mage (USA) (Beta) (2000-05-09),爱丁编年史-首席魔法师
Aidyn Chronicles - The First Mage (USA) (Beta) (2000-12-05),爱丁编年史-首席魔法师
Aidyn Chronicles - The First Mage (Europe) (Beta) (2001-03-02),爱丁编年史-首席魔法师
Aidyn Chronicles - The First Mage (Europe) (Beta) (2001-04-10),爱丁编年史-首席魔法师
Air Boarder 64 (Japan),疾风滑板64
Airboarder 64 (Europe),疾风滑板64
Akumajou Dracula Mokushiroku - Real Action Adventure (Japan),恶魔城默示录
Akumajou Dracula Mokushiroku Gaiden - Legend of Cornell (Japan),恶魔城默示录外传
"All Star Tennis '99 (Europe) (En,Fr,De,Es,It)",全明星网球'99
All Star Tennis 99 (USA),全明星网球'99
All-Star Baseball 2000 (Europe),全明星棒球2000
All-Star Baseball 2000 (USA),全明星棒球2000
All-Star Baseball 2001 (USA),全明星棒球2001
All-Star Baseball 99 (Europe),全明星棒球'99
All-Star Baseball 99 (USA),全明星棒球'99
Armorines - Project S.W.A.R.M. (Europe),装甲兵器-S.W.A.R.M.计划
Armorines - Project S.W.A.R.M. (Germany),装甲兵器-S.W.A.R.M.计划
Armorines - Project S.W.A.R.M. (USA),装甲兵器-S.W.A.R.M.计划
Army Men - Air Combat (USA),玩具兵大战-空中打击
"Army Men - Sarge's Heroes (Europe) (En,Fr,De)",玩具兵大战-萨基英雄
Army Men - Sarge's Heroes (USA),玩具兵大战-萨基英雄
Army Men - Sarge's Heroes 2 (USA),玩具兵大战-萨基英雄2
Asteroids Hyper 64 (USA),游星大战64
Ataxx 64 (World) (Unl),
Automobili Lamborghini (Europe),兰博基尼赛车
Automobili Lamborghini (USA),兰博基尼赛车
Baku Bomberman (Japan),爆-炸弹人
Baku Bomberman 2 (Japan),爆-炸弹人2
Bakuretsu Muteki Bangaioh (Japan),爆裂无敌
Bakushou Jinsei 64 - Mezase! Resort Ou (Japan),爆笑人生64
Banjo to Kazooie no Daibouken (Japan),班卓熊大冒险
Banjo to Kazooie no Daibouken 2 (Japan),班卓熊大冒险2
"Banjo-Kazooie (Europe) (En,Fr,De)",班卓熊大冒险
Banjo-Kazooie (USA),班卓熊大冒险
Banjo-Kazooie (USA) (Rev 1),班卓熊大冒险
Banjo-Tooie (Australia),班卓熊大冒险2
"Banjo-Tooie (Europe) (En,Fr,De,Es)",班卓熊大冒险2
Banjo-Tooie (USA),班卓熊大冒险2
Bass Rush - ECOGEAR PowerWorm Championship (Japan),巴斯快速钓鱼
Bassmasters 2000 (USA),巴斯鲈钓大师2000
Bassmasters 2000 (USA) (Beta),巴斯鲈钓大师2000
Batman Beyond - Return of the Joker (USA),未来蝙蝠侠-小丑的归来
