Name EN,Name CN
'Chou' Kowai Hanashi DS - Ao no Shou (Japan),超鬼故事DS-青之章
"'Josei no Hinkaku' Juku DS - Tsuyoku, Yasashiku, Utsukushiku - Bando Mariko Shinsho (Japan)",女性品格补习班 DS
007 - Blood Stone (Canada) (Fr),007-血石
007 - Blood Stone (France),007-血石
007 - Blood Stone (Germany),007-血石
007 - Blood Stone (USA),007-血石
007 - Blood Stone (United Kingdom),007-血石
007 - Ein Quantum Trost (Germany),007-量子危机
"007 - Quantum of Solace (Europe) (En,Fr)",007-量子危机
"007 - Quantum of Solace (Europe) (Es,It)",007-量子危机
007 - Quantum of Solace (Korea),007-量子危机
"007 - Quantum of Solace (USA) (En,Fr)",007-量子危机
1 contre 100 (France),1比100
1 gegen 100 (Germany),以一敌百
1 vs 100 (Australia),以一敌百
1 vs 100 (USA),以一敌百
1-nichi 10-pun de E ga Jouzu ni Kakeru DS (Japan),每天10分钟提高绘画水平
10 voor Taal (Netherlands),10 语言
"100 All-Time Favorites (USA) (En,Fr,Es)",100 个经典桌面游戏
100 Classic Book Collection (Europe),100部经典名著合集
100 Classic Books (USA),100部经典名著合集
"100 Classic Games (Europe) (En,Fr,De,Es,Nl)",100个经典小游戏
"100 Classic Games (Europe) (En,Fr,De,Es,Nl) (Rev 1)",100个经典小游戏
100 Livres Classiques (France),古典书籍图书馆
1000 Bornes - Coups-Fourres et Courses Folles! (France),1000边界
"1000 Cooking Recipes from Elle a Table (Europe) (En,Fr,De,Es,It) (NDSi Enhanced)",1000烹饪食谱来自艾丽餐桌
1001 Crosswords (Europe),1001纵横字谜
1001 Touch Games (Europe),1001触摸游戏
"1001 Touch Games (Europe) (En,Fr,It,Nl)",1001触摸游戏
1001 Touch Games (Germany),1001触摸游戏
1001 Touch Games (USA),1001触摸游戏
"101 Dino Pets (Europe) (En,Fr,De,It)",101恐龙宠物
"101 in 1 Explosive Megamix (Europe) (En,Fr,De,Es,It,Nl)",101合1小游戏
"101 in 1 Explosive Megamix (USA) (En,Fr,Es)",101合1小游戏
"101 in 1 Sports Megamix (Europe) (En,Fr,De,Es,It,Nl)",运动101合1
"101 in 1 Sports Megamix (USA) (En,Fr,Es)",运动101合1
"11 Card Games (Europe) (En,De,Es)",11张纸牌游戏
12 (Europe),12家庭游戏合辑
123 Sesame Street - Cookie's Counting Carnival - The Videogame (Australia),芝麻街-饼干计数嘉年华
123 Sesame Street - Cookie's Counting Carnival - The Videogame (USA),芝麻街-饼干计数嘉年华
123 Sesame Street - Elmo's A-to-Zoo Adventure - The Videogame (Australia),芝麻街-埃尔默动物园历险
123 Sesame Street - Elmo's A-to-Zoo Adventure - The Videogame (USA),芝麻街-埃尔默动物园历险
"123 Sesame Street - Ready, Set, Grover! - With Elmo - The Videogame (USA) (En,Es)","芝麻街-准备,设置,格罗弗"
1500 DS Spirits - Mahjong V (Japan),1500DS 魂 Vol.11-麻将V
1500 DS Spirits - Shougi V (Japan),1500DS 魂 Vol.12-将棋V
1500 DS Spirits Vol. 1 - Mahjong (Japan),1500日圆系列Vol.1-麻雀
