Name EN,Name CN
1943 Kai (Japan),1943改 - 中途岛海战
21 Emon - Mezase! Hotel Ou (Japan),旅馆王
Adventure Island (Japan),冒险岛
Aero Blasters (Japan) (En),疾风战机
Aero Blasters (USA),疾风战机
After Burner II (Japan) (En),冲破火网2
Air Zonk (USA),空中射击
"Air Zonk (USA, Europe) (Wii U Virtual Console)",空中射击
Alien Crush (USA),异形弹珠台
Alien Crush (Japan) (En),异形弹珠台
All Star Power League (Japan),全明星棒球联盟
Andre Panza Kick Boxing (USA),泰国拳击
Ankoku Densetsu (Japan),暗黑传说
Aoi Blink (Japan),青笊裨
Appare! Gateball (Japan),槌球大赛
Armed F (Japan) (En),F武装战机
Artist Tool (Japan),绘图工具
Atomic Robo-Kid Special (Japan) (En),原子机械童
AV Poker - World Gambler (Japan) (Unl),AV扑克牌
Ballistix (Japan) (En),妖魔传
Ballistix (USA),妖魔传
Bari Bari Densetsu (Japan),爆走传说
Barunba (Japan),巴伦巴战机
Batman (Japan) (En),蝙蝠侠
Battle Lode Runner (Japan) (En),超级挖金战斗
Battle Royale (USA),甜品对战
Be Ball (Japan),太极球
Be Ball (Hong Kong) (Ja) (Unl),太极球
Benkei Gaiden (Japan),牟庆外传
Benkei Gaiden (Japan) (Wii Virtual Console),牟庆外传
Bikkuriman World (Japan),比卡鲁超人世界
Blazing Lazers (USA),燃烧空战
Blazing Lazers (World) (Wii U Virtual Console),燃烧空战
Blodia (Japan) (En),迷魂阵
Bloody Wolf (USA),血狼
Bodycon Quest II - Kyuseishu (Japan) (Unl),美女外传2
Bomberman (USA),炸弹人
Bomberman (Japan) (En),炸弹人
Bomberman (USA) (Bomberman Collection),炸弹人
Bomberman - Users Battle (Japan),炸弹人格斗
Bomberman '93 (Japan),炸弹人'93
Bomberman '93 (USA),炸弹人'93
"Bomberman '93 (USA, Europe) (Wii U Virtual Console)",炸弹人'93
Bomberman '93 (Japan) (Wii U Virtual Console),炸弹人'93
Bomberman '93 - Special Version (Japan),炸弹人'93 - 特别版
Bomberman '94 (Japan),炸弹人'94
Bomberman '94 (World) (Ja) (Wii U Virtual Console),炸弹人'94
Bonk 3 - Bonk's Big Adventure (USA),PC原人大冒险
"Bonk 3 - Bonk's Big Adventure (USA, Europe) (Wii U Virtual Console)",PC原人大冒险
Bonk's Adventure (USA),PC原人冒险记
"Bonk's Adventure (USA, Europe) (Wii U Virtual Console)",PC原人冒险记
Bonk's Revenge (USA),PC原人复仇记
Bonk's Revenge (USA) (Alt 2),PC原人复仇记
"Bonk's Revenge (USA, Europe) (Wii U Virtual Console)",PC原人复仇记
Bonk's Revenge (USA) (Alt),PC原人复仇记
Bouken Danshaku Don - The Lost Sunheart (Japan),冒险男爵
Boxyboy (USA),仓库番
Bravoman (USA),超绝伦人
Break In (Japan) (En),花式撞球
Bubblegum Crash! (Japan),吹波糖危机
Bull Fight - Ring no Hasha (Japan),拳王争霸
Burning Angels (Japan),燃烧天使
Cadash (USA),卡达叙传说
Cadash (Japan),卡达叙传说
Champion Wrestler (Japan) (En),疯狂摔角
Champions Forever Boxing (USA),霸王拳击
Chase H.Q. (USA),追踪HQ
Chew-Man-Fu (USA),太极球
Chibi Maruko-chan - Quiz de Piihyara (Japan),小丸子机智问答
Chikudenya Toubei - Kubikiri Yakata Yori (Japan),逐电屋藤兵卫
China Warrior (USA),中国功夫 - 李小龙
Chou Zetsurinjin Bravoman (Japan),超绝伦人
Circus Lido (Japan) (En),泡泡虫
City Hunter (Japan),城市猎人
Columns (Japan),宝石方块
Coryoon (Japan),顽皮龙
Cratermaze (USA),机器猫
Cross Wiber - Cyber Combat Police (Japan) (En),武装战斗刑事
Cyber Core (Japan) (En),战斗生命体
Cyber Cross (Japan),武装刑事
Cyber Dodge (Japan) (En),战斗躲避球
Cyber Knight (Japan),武装骑士
Cyber-Core (USA),战斗生命体
Daichi-kun Crisis - Do Natural (Japan),幻之大地
Daisenpuu (Japan) (En),大旋风
Darius Alpha (Japan) (En) (SG Enhanced),太空战斗机Alpha
