Name EN,Name CN
[BIOS] Nintendo Pokemon Mini (World),
Lunch Time (Europe) (Demo) (Pokemon Channel),卡比兽的午餐时间
Pichu Bros. Mini (Japan),皮丘兄弟
Pichu Bros. Mini - Hoppip's Jump Match (Japan) (Preview),皮丘兄弟 - 毽子草的跳跃比赛
Pichu Bros. Mini - Netsukikyuu (Japan) (Preview),皮丘兄弟 - 热气球
Pichu Bros. Mini - Skateboard (Japan) (Preview),皮丘兄弟 - 滑板
Pokemon Anime Card Daisakusen (Japan),宝可梦卡牌大作战
Pokemon Party Mini (USA),宝可梦派对
Pokemon Party Mini (Japan),宝可梦派对
Pokemon Party Mini (Europe),宝可梦派对
Pokemon Party Mini - Baseline Judge (Japan) (GameCube),宝可梦派对 - 呆呆王裁判员
Pokemon Party Mini - Baseline Judge (Europe) (GameCube),宝可梦派对 - 呆呆王裁判员
Pokemon Party Mini - Baseline Judge (USA) (GameCube),宝可梦派对 - 呆呆王裁判员
Pokemon Party Mini - Chansey's Dribble (Europe) (GameCube),宝可梦派对 - 吉利蛋运球
Pokemon Party Mini - Pikachu's Rocket Start (Europe) (GameCube),宝可梦派对 - 皮卡丘的弹射起步
Pokemon Party Mini - Ricochet Dribble (USA) (GameCube),宝可梦派对 - 吉利蛋运球
Pokemon Party Mini - Ricochet Dribble (Japan) (GameCube),宝可梦派对 - 吉利蛋运球
Pokemon Party Mini - Rocket Start (USA) (GameCube),宝可梦派对 - 皮卡丘的弹射起步
Pokemon Party Mini - Slowking's Judge (Europe) (GameCube),宝可梦派对 - 呆呆王裁判员
Pokemon Pinball Mini (Japan) (Demo) (Pokemon Channel),宝可梦弹珠台
"Pokemon Pinball Mini (USA, Europe)",宝可梦弹珠台
"Pokemon Pinball Mini (USA, Europe, Australia) (Demo) (Pokemon Channel)",宝可梦弹珠台
Pokemon Pinball Mini (Japan),宝可梦弹珠台
Pokemon Puzzle Collection (Japan) (GameCube),宝可梦拼图系列
Pokemon Puzzle Collection (Japan),宝可梦拼图系列
Pokemon Puzzle Collection (USA) (GameCube Preview),宝可梦拼图系列
Pokemon Puzzle Collection (France) (GameCube Preview),宝可梦拼图系列
Pokemon Puzzle Collection (France),宝可梦拼图系列
Pokemon Puzzle Collection (Germany) (GameCube Preview),宝可梦拼图系列
Pokemon Puzzle Collection (Germany),宝可梦拼图系列
"Pokemon Puzzle Collection (USA, Europe)",宝可梦拼图系列
Pokemon Puzzle Collection Vol. 2 (Japan),宝可梦拼图系列 Vol2
Pokemon Race Mini (Japan) (Preview),宝可梦竞速
Pokemon Race Mini (Japan),宝可梦竞速
Pokemon Shock Tetris (Japan),宝可梦俄罗斯方块
Pokemon Sodateyasan Mini (Japan),宝可梦饲养员
"Pokemon Tetris (Europe) (En,Fr,De)",宝可梦俄罗斯方块
Pokemon Zany Cards (France),宝可梦卡牌大作战
"Pokemon Zany Cards (USA, Europe)",宝可梦卡牌大作战
Pokemon Zany Cards (Germany),宝可梦卡牌大作战
Snorlax's Lunch Time (Europe) (GameCube),卡比兽的午餐时间
Snorlax's Lunch Time (Japan) (GameCube),卡比兽的午餐时间
Togepi no Daibouken (Japan) (Preview),波可比的大冒险
Togepi no Daibouken (Japan),波可比的大冒险
