Name EN,Name CN
007 - Demain ne Meurt Jamais (France),007-明日帝国
007 - Der Morgen Stirbt Nie (Germany),007-明日帝国
007 - Die Welt Ist Nicht Genug (Germany),007-黑日危机
007 - El Mundo Nunca es Suficiente (Spain),007-黑日危机
007 - Le Monde ne Suffit Pas (France),007-黑日危机
007 - The World Is Not Enough (Europe),007-黑日危机
007 - The World Is Not Enough (Sweden),007-黑日危机
007 - The World Is Not Enough (USA),007-黑日危机
007 - Tomorrow Never Dies (Europe),007-明日帝国
007 - Tomorrow Never Dies (Japan),007-明日帝国
007 - Tomorrow Never Dies (USA),007-明日帝国
007 Racing (Europe),007赛车
007 Racing (France),007赛车
007 Racing (Germany),007赛车
007 Racing (USA),007赛车
1 on 1 (Japan),1对1篮球
19-ji 03-pun - Ueno-hatsu Yakou Ressha (Japan),19时03分-上野发夜光列车
1Xtreme (USA),1X极限运动
"2002 FIFA World Cup (Europe) (En,Sv)",2002韩日世界杯演唱会
2002 FIFA World Cup (France),2002韩日世界杯演唱会
2002 FIFA World Cup (Germany),2002韩日世界杯演唱会
2002 FIFA World Cup (Italy),2002韩日世界杯演唱会
2002 FIFA World Cup (Spain),2002韩日世界杯演唱会
"2002 FIFA World Cup (USA) (En,Es)",2002韩日世界杯演唱会
20-seiki Striker Retsuden - The 20th Century's Real Strikers (Japan),20世纪前锋列传
2Xtreme (Europe),2X极限运动
2Xtreme (USA),2X极限运动
"360 Three Sixty (Europe) (En,Fr,De,Es,It,Sv)",360
3D Baseball - The Majors (Japan),3D棒球
3D Baseball (USA),3D棒球 3D
3D Kakutou Tkool (Japan),3D立体格斗
3D Lemmings (Europe),3D百战小旅鼠
3D Lemmings (Japan),3D百战小旅鼠
3D Lemmings (USA),3D百战小旅鼠
3D Mission Shooting - Finalist (Japan),隧道B1
3D Shooting Tkool (Japan),3D射击制作大师
3x3 Eyes - Kyuusei Koushu (Japan) (Disc 1),3X3只眼-吸精公主
3x3 Eyes - Kyuusei Koushu (Japan) (Disc 2),3X3只眼-吸精公主
3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 1),3X3只眼-转轮王幻梦
3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 2),3X3只眼-转轮王幻梦
3x3 Eyes - Tenrin'ou Genmu (Japan) (Disc 3),3X3只眼-转轮王幻梦
3Xtreme (USA),3X极限运动
40 Winks (Europe),夜半童惊魂
40 Winks (Italy),夜半童惊魂
40 Winks (Spain),夜半童惊魂
40 Winks (USA),夜半童惊魂
"4x4 World Trophy (Europe) (En,Fr,De,Es,It)",无限试驾3
50 por 15 - Quiere Ser Millonario (Spain),问答大富豪
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 1),70年代机器人 Geppy-X
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 2),70年代机器人 Geppy-X
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 3),70年代机器人 Geppy-X
70's Robot Anime - Geppy-X - The Super Boosted Armor (Japan) (Disc 4),70年代机器人 Geppy-X
'99 Koushien (Japan),99甲子园
A Ressha de Ikou 4 - Evolution (Japan),A列车进行曲4
A Ressha de Ikou 4 - Evolution (Japan) (Gentei Set),A列车进行曲4
A Ressha de Ikou 4 - Evolution (Japan) (Rev 1),A列车进行曲4
"A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De)",A列车4v1.0
"A Ressha de Ikou 4 - Evolution Global (Japan) (En,Ja,Fr,De) (PlayStation the Best)",A列车4v1.0
A Sangre Fria (Spain) (Disc 1),冷血杀手
A Sangre Fria (Spain) (Disc 2),冷血杀手
A Sangue Freddo (Italy) (Disc 1),冷血杀手
A Sangue Freddo (Italy) (Disc 2),冷血杀手
"A.IV - Evolution Global (Europe) (En,Ja,Fr,De)",A列车
"A5 - A Ressha de Ikou 5 (Japan, Asia)",A列车进行曲5
AbalaBurn (Japan),艾斯塔利亚战斗传说
Abe '99 (Japan) (Disc 1),阿比逃亡记2
Abe '99 (Japan) (Disc 2),阿比逃亡记2
Abe a GoGo (Japan),阿比逃亡记
"Absolute Football (France) (En,Fr,De,Es,It,Pt)",20世纪前锋列传
Ace Combat (Japan),皇牌空战
Ace Combat 2 (Europe),皇牌空战2
Ace Combat 2 (France),皇牌空战2
Ace Combat 2 (Germany),皇牌空战2
Ace Combat 2 (Japan),皇牌空战2
Ace Combat 2 (Japan) (Rev 1),皇牌空战2
Ace Combat 2 (USA),皇牌空战2
"Ace Combat 3 - Electrosphere (Europe) (En,Fr,De,Es,It)",皇牌空战3
Ace Combat 3 - Electrosphere (Japan) (Disc 1),皇牌空战3
Ace Combat 3 - Electrosphere (Japan) (Disc 2),皇牌空战3
"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 1) (Rev 1)",皇牌空战3
"Ace Combat 3 - Electrosphere (Japan, Asia) (Disc 2) (Rev 1)",皇牌空战3
Ace Combat 3 - Electrosphere (USA),皇牌空战3
Aces of the Air (USA),空中王牌
Aconcagua (Japan) (Disc 1),阿空加瓜-雪岭危机
Aconcagua (Japan) (Disc 2),阿空加瓜-雪岭危机
Action Bass (Europe),低音垂钓
Action Bass (Japan),低音垂钓
Action Bass (USA),低音垂钓
"Action Man - Destruction X (Europe) (En,Fr,De,Es,It)",暴力战士 极限行动
"Action Man - Mission Xtreme (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",机动人-极限行动
"Action Man - Mission Xtreme (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi) (EDC)",机动人-极限行动
Action Man - Operation Extreme (USA),机动人-极限行动
Activision Classics (USA),动视游戏合集
"Actua Golf (Europe) (En,Fr,De)",超拟真高尔夫
Actua Golf (Japan),超拟真高尔夫
Actua Golf 2 (Europe),超拟真高尔夫2
Actua Golf 3 (Europe),超拟真高尔夫3
Actua Pool (Europe),最终八球
"Actua Soccer (Europe) (En,Fr)",超拟真足球-联赛篇
"Actua Soccer (Europe) (En,Fr) (Rev 1)",超拟真足球-联赛篇
Actua Soccer (Japan),超拟真足球-联赛篇
Addie no Okurimono - To Moze from Addie (Japan),艾迪的赠礼
"Adidas Power Soccer (Europe) (En,Fr,De,Es,It)",阿迪达斯能量足球
Adidas Power Soccer (USA),阿迪达斯能量足球
"Adidas Power Soccer 98 (Europe) (En,Fr,De,Es,It,Nl)",阿迪达斯足球 '98
Adidas Power Soccer 98 (USA),阿迪达斯足球 '98
Advanced V.G. (Japan),VG格斗
Advanced V.G. 2 (Japan),VG格斗2
"Adventures of Lomax, The (USA)",罗玛克斯大冒险
Aerodive (Japan),花式跳伞
Afraid Gear (Japan),雷霆机兵
Afraid Gear Another (Japan),雷霆机兵2
Agent Armstrong - Himitsu Shirei Daisakusen (Japan),秘密司令大作战
"Agent Armstrong (Europe) (En,Fr,De,Es)",秘密司令大作战
Agile Warrior - F-111X (Europe),火线攻击F-111X
Agile Warrior - F-111X (Japan),火线攻击F-111X
Agile Warrior - F-111X (USA),火线攻击F-111X
Ah Nanjarin (Japan),宠物养成
AI Shougi Selection (Japan),AI将棋
Air Combat (Europe),空战
Air Combat (Europe) (EDC),空战
Air Combat (USA),空战
Air Hockey (Europe),桌上冰球
Air Hockey (USA),桌上冰球
Air Race (Europe),火力飞行
AirAssault - The Red Mercury Missions (Japan),战鹰-赤星任务
AirGrave (Japan),空中战神
AirRace Championship (Japan),AirRace锦标赛
Aishiau Koto Shika Dekinai (Japan),只想爱你
Aitakute... - Your Smiles in My Heart (Japan) (Disc 1),想见你...你的微笑在我心中
Aitakute... - Your Smiles in My Heart (Japan) (Disc 2),想见你...你的微笑在我心中
Aitakute... - Your Smiles in My Heart (Japan) (Disc 3),想见你...你的微笑在我心中
Aitakute... - Your Smiles in My Heart (Japan) (Disc 4),想见你...你的微笑在我心中
Akagawa Jirou - Yasoukyoku (Japan),赤川次郎的夜想曲
Akagawa Jirou - Yasoukyoku (Japan) (Shokai Genteiban),赤川次郎的夜想曲
Akazu no Ma (Japan),禁忌的房间
"Akuji the Heartless (Europe) (En,Fr,De)",蛮荒争霸
Akuji the Heartless (USA),蛮荒争霸
Akumajou Dracula X - Gekka no Yasoukyoku (Japan),恶魔城-月下之夜想曲
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Rev 1),恶魔城-月下之夜想曲
Akumajou Dracula X - Gekka no Yasoukyoku (Japan) (Rev 2),恶魔城-月下之夜想曲
Alexandra Ledermann 2 - Equitation Competition (France),马术展示
"Alexi Lalas International Soccer (USA) (En,Fr,De,Es,It)",拉拉斯国际足球
Alice in Cyberland (Japan),爱丽丝梦游数码天地
"Alien Resurrection (Europe) (En,Fr,De,Es,It)",异型4
Alien Resurrection (USA),异型4
"Alien Trilogy (Europe) (En,Fr,Es,It)",异形三部曲
Alien Trilogy (Germany),异形三部曲
Alien Trilogy (Japan),异形三部曲
Alien Trilogy (USA),异形三部曲
Alive (Japan) (Disc 1),生存
Alive (Japan) (Disc 2),生存
Alive (Japan) (Disc 3),生存
All Star Boxing (Europe),拳击
All Star Racing (Europe),全明星赛车
All Star Racing (USA),全明星赛车
All Star Racing 2 (Europe),全明星赛车2
All Star Racing 2 (USA),全明星赛车2
All Star Tennis (Europe),网球
"All Star Tennis '99 (Europe) (En,Fr,De,Es,It)",全明星网球 '99
All Star Tennis '99 (Japan),全明星网球 '99
Alla Ricerca della Valle Incantata - Ritorno alla Grande Vallata (Italy),史前大陆-返回大峡谷
Allied General (Europe),盟军将军
"Allied General (Japan) (En,Ja)",盟军将军
Allied General (USA),盟军将军
All-Star Baseball 97 featuring Frank Thomas (USA),全明星棒球97
All-Star Slammin' D-Ball (USA),全明星重击球
Alnam no Kiba - Juuzoku Juuni Shinto Densetsu (Japan),阿纳姆之牙-兽族12神徒传说
