Name EN,Name CN
Ghost in the Shell - Stand Alone Complex (USA),攻壳机动队-猎人的领域
"Wipeout Pure (Europe) (En,Fr,De,Es,It)",反重力赛车
"Open Season (Europe) (En,Fr,Es,Da)",狩猎季节
"Untold Legends - Brotherhood of the Blade (Europe) (En,Fr,De,Es,It)",无尽传说-刀锋兄弟会
Need for Speed - Carbon - Own the City (Asia),极品飞车-卡本峡谷之城市争霸
"Fired Up (Europe, Australia) (En,Fr,De,Es,It)",火爆赛车
"MediEvil - Resurrection (Europe) (En,Fr,De,Es,It)",骷髅骑士-复苏
"Lumines - Puzzle Fusion (USA) (En,Ja)",音乐方块
"Ridge Racer (Europe, Australia) (En,Fr,De,Es,It)",山脊赛车
Midnight Club 3 - DUB Edition (USA) (v1.00),湾岸午夜俱乐部3-DUB版
"Full Auto 2 - Battlelines (Europe) (En,Fr,De,Es,It)",全能赛车2-火线追击
Retail Sampler No. 3 for PSP (Europe),
Grand Theft Auto - Vice City Stories (USA),侠盗猎车-罪恶都市传奇
"Grand Theft Auto - Liberty City Stories (Europe) (En,Fr,De,Es,It) (v3.00)",侠盗猎车-自由城的故事
Untold Legends - The Warrior's Code (USA),无尽传说-勇者密码
"Star Wars - Lethal Alliance (Europe) (En,Fr,De,Es,It)",星球大战-致命联盟
"Lord of the Rings, The - Tactics (USA)",指环王-战略版
"Brothers in Arms - D-Day (Europe, Australia) (En,Fr,De,Es,It)",战火兄弟连-登陆日
Need for Speed - Most Wanted - 5-1-0 (Asia),极品飞车-最高通缉
Miami Vice - The Game (Russia),迈阿密风云
"Sims 2, The - Pets (Asia) (En,Fr,De,Es,It,Nl,Zh)",模拟人生2-宠物当家
"Lumines - Puzzle Fusion (Europe) (En,Fr,De,Es,It)",音乐方块
"Peter Jackson's King Kong - The Official Game of the Movie (Europe) (En,Fr,De,Es,It,Nl,Sv,No,Da,Fi)",金刚
"Tom Clancy's Splinter Cell - Essentials (Europe, Australia) (En,Fr,De,Es,It) (v1.02)",细胞分裂-精华
"Pursuit Force (Europe) (En,Fr,De,Es,It)",强力追击
Kingdom of Paradise (USA),天地之门
NBA Street Showdown (Asia),NBA街头篮球
"Grand Theft Auto - Vice City Stories (Europe) (En,Fr,De,Es,It)",侠盗猎车-罪恶都市传奇
"Killzone - Liberation (Europe) (En,Fr,De,Es,It,Nl,Pl,Ru)",杀戮地带-解放行动
"Lumines II (Europe) (En,Fr,De,Es,It)",音乐方块2
"Killzone - Liberation (USA) (En,Fr,De,Es,It,Nl,Pl,Ru)",杀戮地带-解放行动
"Metal Gear Acid 2 (Europe) (En,Fr,De,Es,It)",合金装备Ac!d2
"Need for Speed - Most Wanted - 5-1-0 (Europe) (En,Fr,De,Es,It)",极品飞车-最高通缉
Need for Speed - Carbon - Own the City (Europe),极品飞车-卡本峡谷之城市争霸
"Lara Croft Tomb Raider - Legend (Europe) (En,Fr,De,Es,It)",古墓丽影-劳拉克劳馥传奇
"Tekken - Dark Resurrection (Europe, Australia) (En,Fr,De,Es,It) (v2.00)",铁拳-黑暗复苏
"Formula One 06 (Europe) (En,Fr,De,Es,It,Pt,Fi)",F1格兰披治大赛2006
"PES 6 - Pro Evolution Soccer (Europe) (En,Fr,De,Es,It)",实况足球6
"Sims 2, The (Europe) (En,Fr,De,Es,It)",模拟人生2
"Grand Theft Auto - Liberty City Stories (Europe) (En,Fr,De,Es,It) (v2.00)",侠盗猎车-自由城的故事
