Name EN,Name CN
[BIOS] 32X M68000 (USA),
[BIOS] 32X SH-2 Master (USA),
[BIOS] 32X SH-2 Slave (USA),
32X Sample Program - PWM Sound Demo (Unknown) (SDK Build),
After Burner Complete (Europe),冲破火网完全版
"After Burner Complete (Japan, USA) (En)",冲破火网完全版
"Amazing Spider-Man, The - Web of Fire (USA)",蜘蛛侠 - 火网
BC Racers (USA),公元前狂飚
Blackthorne (USA),黑色荊棘
Brutal - Above the Claw (USA),动物快打
ClayFighter 2 (USA) (Proto) (1995-04-28),粘土战士2
"Cosmic Carnage (Japan, USA) (En)",超空间乱斗
Cosmic Carnage (Europe),超空间乱斗
"Cosmic Carnage (Japan, USA) (En) (Beta) (1994-09-06)",超空间乱斗
"Cosmic Carnage (Japan, USA) (En) (Beta) (1994-09-21)",超空间乱斗
"Cosmic Carnage (Japan, USA) (En) (Beta) (1994-10-07)",超空间乱斗
"Cosmic Carnage (Japan, USA) (En) (Beta) (1994-10-11)",超空间乱斗
"Cosmic Carnage (Japan, USA) (En) (Beta) (1994-10-04)",超空间乱斗
"Cosmic Carnage (Japan, USA) (En) (Beta) (1994-10-05)",超空间乱斗
"Cosmic Carnage (Japan, USA) (En) (Beta) (1994-09-26)",超空间乱斗
"Cosmic Carnage (Japan, USA) (En) (Beta) (1994-09-28)",超空间乱斗
"Darxide (Europe) (En,Fr,De,Es)",X翼战机
Doom (Europe),毁灭战士
"Doom (Japan, USA) (En)",毁灭战士
"Doom (Japan, USA) (En) (Beta) (1994-09-09)",毁灭战士
"Doom (Japan, USA) (En) (Beta) (1994-09-25)",毁灭战士
"Doom (Japan, USA) (En) (Beta) (1994-09-27)",毁灭战士
"Doom (Japan, USA) (En) (Beta) (1994-09-23)",毁灭战士
"Doom (Japan, USA) (En) (Beta) (1994-09-06)",毁灭战士
"Doom (Japan, USA) (En) (Beta) (1994-09-14)",毁灭战士
Doom (Europe) (Beta) (1994-10-02),毁灭战士
"Doom (Japan, USA) (En) (Beta) (1994-09-16)",毁灭战士
"Doom (Japan, USA) (En) (Beta) (1994-12-01)",毁灭战士
"Doom (Japan, USA) (En) (Beta) (1994-09-21)",毁灭战士
"Doom RR (Japan, USA) (En) (Beta) (1995-03-07)",毁灭战士RR
"Doom RR (Japan, USA) (En) (Beta) (1995-02-21)",毁灭战士RR
"Doom RR (Japan, USA) (En) (Beta) (1995-02-15)",毁灭战士RR
Ecco the Dolphin (USA) (Demo) (Developer Cart),海豚历险记
"FIFA Soccer 96 (Europe) (En,Fr,De,Es,It,Sv)",FIFA足球96
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En)",三十六洞高尔夫
Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Europe),三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-07-06)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-10-11)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-10-17)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-10-18)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-10-24)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-10-26)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-01)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-03)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-05)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-07)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-08)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-09)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-16)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-19) (Alt)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-19)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-21)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-22) (Alt)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-18)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-23)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-22)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-26)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-27)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-28)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-11-29)",三十六洞高尔夫
"Golf Magazine Presents - 36 Great Holes Starring Fred Couples (Japan, USA) (En) (Beta) (1994-12-02)",三十六洞高尔夫
