Name EN,Name ZH
'96 Zenkoku Koukou Soccer Senshuken (Japan),全国高中足球锦标赛'96
2020 Super Baseball (Japan),超级棒球2020
3 Ninjas Kick Back (USA),忍者好小子
3-jigen Kakutou Ballz (Japan),3D格斗球
3x3 Eyes - Juuma Houkan (Japan),3只眼-兽魔奉还
3x3 Eyes - Seima Kourinden (Japan),3只眼-圣魔降临传
4-nin Shougi (Japan),4人将棋
46 Okunen Monogatari - Harukanaru Eden e (Japan),46亿年物语
"7th Saga, The (USA)",时空引导者
90 Minutes - European Prime Goal (Europe),90分钟欧洲足球
A.S.P. - Air Strike Patrol (USA),空中打击巡逻队
Aaahh!!! Real Monsters (Europe),怪物三人行
Aaahh!!! Real Monsters (USA),怪物三人行
ABC Monday Night Football (Japan),ABC电视台周一足球
ABC Monday Night Football (USA),ABC电视台周一足球
Accele Brid (Japan),电脑战机
Ace o Nerae! (Japan),山本玲美香网球
ACME Animation Factory (Europe),ACME动画工厂
ACME Animation Factory (USA),ACME动画工厂
Acrobat Mission (Japan) (En),特殊任务
Action Pachio (Japan),柏青哥君大进击
ActRaiser (Europe),雷莎出击
ActRaiser (France),雷莎出击
ActRaiser (Germany),雷莎出击
Actraiser (Japan),雷莎出击
ActRaiser (USA),雷莎出击
"Actraiser 2 (Europe) (En,Fr,De)",雷莎出击2
ActRaiser 2 (USA),雷莎出击2
ActRaiser 2 - Chinmoku e no Seisen (Japan),雷莎出击2
"Addams Family Values (Europe) (En,Fr,De)",阿达一族2
"Addams Family Values (USA) (En,Fr,De)",阿达一族2
"Addams Family, The (Europe) (En,Fr,De)",阿达一族
"Addams Family, The (Japan)",阿达一族
"Addams Family, The (USA)",阿达一族
"Addams Family, The - Pugsley's Scavenger Hunt (Europe)",阿达一族3
"Addams Family, The - Pugsley's Scavenger Hunt (USA)",阿达一族3
Advanced Dungeons & Dragons - Eye of the Beholder (USA),龙与地下城-行者之眼
"Adventures of Batman & Robin, The (Europe)",蝙蝠侠与罗宾大冒险
"Adventures of Batman & Robin, The (USA)",蝙蝠侠与罗宾大冒险
"Adventures of Dr. Franken, The (Europe) (En,Fr,De,Es,It,Nl,Sv)",科学怪人的冒险
"Adventures of Dr. Franken, The (USA)",科学怪人的冒险
"Adventures of Kid Kleets, The (USA) (En,Fr,Es)",足球小子的冒险
"Adventures of Rocky and Bullwinkle and Friends, The (USA)",松鼠与麋鹿
