Name EN,Name CN
3-D Tetris (USA),俄罗斯方块
Bound High (World) (Proto 1) [b],弹跳高手
Bound High (World) (Proto 2),弹跳高手
"Galactic Pinball (Japan, USA) (En)",银河弹珠台
Golf (USA),高尔夫
Insmouth no Yakata (Japan),印斯茅斯馆
Jack Bros. (USA),杰克兄弟
Jack Bros. no Meiro de Hiihoo! (Japan),杰克兄弟
"Mario Clash (Japan, USA) (En)",马里奥冲击
"Mario's Tennis (Japan, USA) (En)",马里奥网球
Nester's Funky Bowling (USA),疯狂保龄球
Niko-chan Battle (Japan) (Proto),小精灵炮弹
Panic Bomber (USA),炸弹人方块
Red Alarm (USA),红色警报
Red Alarm (Japan),红色警报
SD Gundam - Dimension War (Japan),SD高达 - 次元战争
Space Invaders - Virtual Collection (Japan),太空侵略者
Space Pinball (Japan) (En) (Proto),银河弹珠台
Space Squash (Japan),太空壁球
T&E Virtual Golf (Japan),高尔夫
"Teleroboxer (Japan, USA) (En)",机械拳击手
Tobidase! Panibon (Japan),炸弹人方块
V-Tetris (Japan) (En),俄罗斯方块
Vertical Force (Japan),纵力战机
Vertical Force (USA),纵力战机
Virtual Bowling (Japan),疯狂保龄球
"Virtual Boy Wario Land (Japan, USA) (En)",瓦里奥大陆
Virtual Fishing (Japan),虚拟钓鱼
Virtual Lab (Japan),俄罗斯水管
Virtual League Baseball (USA),虚拟棒球
Virtual Pro Yakyuu '95 (Japan),虚拟棒球
Waterworld (USA),未来水世界
