Name EN,Name CN
"Digimon Tamers - Battle Spirit (Japan, Korea) (En,Ja)",数码宝贝 - 格斗天王
"Hanjuku Hero - Ah, Sekai yo Hanjuku Nare...!! (Japan) (Rev 1)",半熟英雄
"Mingle Magnet (Japan) (En,Ja) (Rev 1)",磁力方块
"Robot Works (Hong Kong) (En,Ja) (Rev 1)",甲虫机器控制程式
Alchemist Marie & Elie - Futari no Atelier (Japan),炼金术士 - 玛莉和艾莉
Anchorz Field (Japan),领域争夺战
Another Heaven - Memory of those Days (Japan),另一天堂 - 记忆中的日子
Arc the Lad - Kishin Fukkatsu (Japan),妖精战士 - 机神复活
Armored Unit (Japan),装甲部队
Bakusou Dekotora Densetsu for WonderSwan (Japan),爆走卡车传說
Battle Spirit - Digimon Frontier (Japan) (Rev 1),战斗精神 - 数码宝贝开拓者
Blue Wing Blitz (Japan),蓝天之翼
Buffers Evolution (Japan),兽人竞走
Cardcaptor Sakura - Sakura to Fushigi na Clow Card (Japan),库洛魔法使
Chaos Gear - Michibikareshi Mono (Japan),混乱齿轮
Chocobo no Fushigi na Dungeon for WonderSwan (Japan) (Rev 1),路行鸟之不可思意的迷宫
Chocobo no Fushigi na Dungeon for WonderSwan (Japan) (Rev 2),路行鸟之不可思意的迷宫
Chocobo no Fushigi na Dungeon for WonderSwan (Japan) (Rev 3),路行鸟之不可思意的迷宫
Chou Aniki - Otoko no Tamafuda (Japan) (Rev 4),超兄贵 - 男之花札
Chou Denki Card Battle - Youfu Makai (Japan) (Rev 3),妖符魔界
Clock Tower for WonderSwan (Japan) (Rev 1),钟楼
Crazy Climber (Japan),疯狂爬楼者
D's Garage 21 Koubo Game - Tane o Maku Tori (Japan),播种鸟
Dark Eyes - Battle Gate (Japan),黑暗之眼 - 战斗闸门
Densha de Go! (Japan) (Rev 1),电车GO
Densha de Go! 2 (Japan),电车GO2
Dicing Knight. (Japan),骰子骑士
Digimon - Anode Tamer & Cathode Tamer - Veedramon Version (Hong Kong) (En),数码宝贝 - 阴阳极版
Digimon - Anode Tamer & Cathode Tamer - Veedramon Version (Korea) (En),数码宝贝 - 阴阳极版
Digimon - Ver. WonderSwan (Hong Kong) (En),数码宝贝
Digimon Adventure - Anode Tamer (Japan) (Rev 1),数码宝贝 - 阳极版
